source,target,layer,weight
1,10,coauthor,1.0
13,48,coauthor,1.0
18,76,coauthor,1.0
18,130,coauthor,1.0
22,26,coauthor,1.0
29,32,coauthor,1.0
41,118,coauthor,1.0
47,99,coauthor,1.0
47,130,coauthor,1.0
53,72,coauthor,1.0
53,91,coauthor,1.0
53,110,coauthor,1.0
68,142,coauthor,1.0
72,91,coauthor,1.0
76,130,coauthor,1.0
91,110,coauthor,1.0
97,110,coauthor,1.0
99,130,coauthor,1.0
106,118,coauthor,1.0
110,138,coauthor,1.0
130,134,coauthor,1.0
1,10,facebook,1.0
1,29,facebook,1.0
1,32,facebook,1.0
1,71,facebook,1.0
1,79,facebook,1.0
1,106,facebook,1.0
3,18,facebook,1.0
3,47,facebook,1.0
3,54,facebook,1.0
3,76,facebook,1.0
3,79,facebook,1.0
3,124,facebook,1.0
3,130,facebook,1.0
4,10,facebook,1.0
4,32,facebook,1.0
4,47,facebook,1.0
4,54,facebook,1.0
4,67,facebook,1.0
4,71,facebook,1.0
4,76,facebook,1.0
4,91,facebook,1.0
4,110,facebook,1.0
4,123,facebook,1.0
4,130,facebook,1.0
4,142,facebook,1.0
6,21,facebook,1.0
6,67,facebook,1.0
6,69,facebook,1.0
6,124,facebook,1.0
10,54,facebook,1.0
10,91,facebook,1.0
10,142,facebook,1.0
18,47,facebook,1.0
18,54,facebook,1.0
18,76,facebook,1.0
18,79,facebook,1.0
18,109,facebook,1.0
18,124,facebook,1.0
18,130,facebook,1.0
21,67,facebook,1.0
21,69,facebook,1.0
21,106,facebook,1.0
29,32,facebook,1.0
29,91,facebook,1.0
29,106,facebook,1.0
29,107,facebook,1.0
32,67,facebook,1.0
32,71,facebook,1.0
32,91,facebook,1.0
32,106,facebook,1.0
32,107,facebook,1.0
32,110,facebook,1.0
32,123,facebook,1.0
32,130,facebook,1.0
42,49,facebook,1.0
42,79,facebook,1.0
42,123,facebook,1.0
42,142,facebook,1.0
47,54,facebook,1.0
47,76,facebook,1.0
47,79,facebook,1.0
47,109,facebook,1.0
47,123,facebook,1.0
47,124,facebook,1.0
47,130,facebook,1.0
47,142,facebook,1.0
49,123,facebook,1.0
54,76,facebook,1.0
54,79,facebook,1.0
54,109,facebook,1.0
54,124,facebook,1.0
54,142,facebook,1.0
59,67,facebook,1.0
59,91,facebook,1.0
59,106,facebook,1.0
59,110,facebook,1.0
59,113,facebook,1.0
65,79,facebook,1.0
65,91,facebook,1.0
65,112,facebook,1.0
65,113,facebook,1.0
67,69,facebook,1.0
67,71,facebook,1.0
67,91,facebook,1.0
67,110,facebook,1.0
67,113,facebook,1.0
67,123,facebook,1.0
67,130,facebook,1.0
67,142,facebook,1.0
69,91,facebook,1.0
69,113,facebook,1.0
69,124,facebook,1.0
71,79,facebook,1.0
71,107,facebook,1.0
71,110,facebook,1.0
71,123,facebook,1.0
76,79,facebook,1.0
76,109,facebook,1.0
76,112,facebook,1.0
76,124,facebook,1.0
76,130,facebook,1.0
79,91,facebook,1.0
79,109,facebook,1.0
79,110,facebook,1.0
79,124,facebook,1.0
79,130,facebook,1.0
79,142,facebook,1.0
91,110,facebook,1.0
91,113,facebook,1.0
91,123,facebook,1.0
91,124,facebook,1.0
91,142,facebook,1.0
106,107,facebook,1.0
106,123,facebook,1.0
107,124,facebook,1.0
109,124,facebook,1.0
110,113,facebook,1.0
110,142,facebook,1.0
123,130,facebook,1.0
123,142,facebook,1.0
124,130,facebook,1.0
124,134,facebook,1.0
130,134,facebook,1.0
130,142,facebook,1.0
1,10,leisure,1.0
1,14,leisure,1.0
1,23,leisure,1.0
1,26,leisure,1.0
1,73,leisure,1.0
3,54,leisure,1.0
3,90,leisure,1.0
4,67,leisure,1.0
6,90,leisure,1.0
10,13,leisure,1.0
10,37,leisure,1.0
10,54,leisure,1.0
10,73,leisure,1.0
10,142,leisure,1.0
14,17,leisure,1.0
14,19,leisure,1.0
14,23,leisure,1.0
14,73,leisure,1.0
17,23,leisure,1.0
17,73,leisure,1.0
17,91,leisure,1.0
17,107,leisure,1.0
18,62,leisure,1.0
18,76,leisure,1.0
18,99,leisure,1.0
18,124,leisure,1.0
19,23,leisure,1.0
19,73,leisure,1.0
21,126,leisure,1.0
22,42,leisure,1.0
23,73,leisure,1.0
29,32,leisure,1.0
29,126,leisure,1.0
32,107,leisure,1.0
37,142,leisure,1.0
41,106,leisure,1.0
41,118,leisure,1.0
42,49,leisure,1.0
42,79,leisure,1.0
42,142,leisure,1.0
47,76,leisure,1.0
53,91,leisure,1.0
54,76,leisure,1.0
54,79,leisure,1.0
54,90,leisure,1.0
54,91,leisure,1.0
54,109,leisure,1.0
54,126,leisure,1.0
59,65,leisure,1.0
59,72,leisure,1.0
59,91,leisure,1.0
59,110,leisure,1.0
62,76,leisure,1.0
65,72,leisure,1.0
65,79,leisure,1.0
65,91,leisure,1.0
65,110,leisure,1.0
65,113,leisure,1.0
67,110,leisure,1.0
68,141,leisure,1.0
68,142,leisure,1.0
69,91,leisure,1.0
69,126,leisure,1.0
72,91,leisure,1.0
72,138,leisure,1.0
73,79,leisure,1.0
76,79,leisure,1.0
76,90,leisure,1.0
76,109,leisure,1.0
79,90,leisure,1.0
79,99,leisure,1.0
